,ranking,domain,org_name,time_difference_in_seconds_float,crypto_algorithm,pub_key_len,pub_key_exp,sign_alg
0,ranking,domain,,,,,,
1,1,google.com,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
2,2,facebook.com,DigiCert Inc,7862399.0,,256.0,,b'sha256WithRSAEncryption'
3,3,amazonaws.com,,,,,,
4,4,a-msedge.net,,,,,,
5,5,microsoft.com,Microsoft Corporation,31104000.0,,2048.0,65537.0,b'sha384WithRSAEncryption'
6,6,googleapis.com,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
7,7,apple.com,Apple Inc.,7776600.0,,256.0,,b'ecdsa-with-SHA256'
8,8,youtube.com,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
9,9,akamaiedge.net,,,,,,
10,10,akamai.net,,,,,,
11,11,twitter.com,DigiCert Inc,31535999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
12,12,instagram.com,DigiCert Inc,7862399.0,,256.0,,b'sha256WithRSAEncryption'
13,13,googlevideo.com,,,,,,
14,14,azure.com,Microsoft Corporation,31104000.0,,2048.0,65537.0,b'sha384WithRSAEncryption'
15,15,gstatic.com,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
16,16,cloudflare.com,"Cloudflare, Inc.",29116799.0,,256.0,,b'ecdsa-with-SHA256'
17,17,linkedin.com,DigiCert Inc,15811199.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
18,18,live.com,DigiCert Inc,31708799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
19,19,tiktokcdn.com,,,,,,
20,20,office.com,Microsoft Corporation,31104000.0,,2048.0,65537.0,b'sha384WithRSAEncryption'
21,21,doubleclick.net,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
22,22,windowsupdate.com,,,,,,
23,23,akadns.net,,,,,,
24,24,googletagmanager.com,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
25,25,netflix.com,DigiCert Inc,31614489.0,,256.0,,b'ecdsa-with-SHA256'
26,26,apple-dns.net,,,,,,
27,27,fbcdn.net,DigiCert Inc,7862399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
28,28,amazon.com,DigiCert Inc,21772799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
29,29,trafficmanager.net,,,,,,
30,30,microsoftonline.com,,,,,,
31,31,wikipedia.org,Let's Encrypt,7775999.0,,256.0,,b'sha256WithRSAEncryption'
32,32,bing.com,Microsoft Corporation,13688246.0,,2048.0,65537.0,b'sha384WithRSAEncryption'
33,33,fastly.net,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
34,34,icloud.com,Apple Inc.,7776600.0,,256.0,,b'ecdsa-with-SHA256'
35,35,googleusercontent.com,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
36,36,l-msedge.net,,,,,,
37,37,domaincontrol.com,,,,,,
38,38,wordpress.org,Sectigo Limited,34300799.0,,256.0,,b'ecdsa-with-SHA256'
39,39,root-servers.net,,,,,,
40,40,gtld-servers.net,,,,,,
41,41,youtu.be,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
42,42,yahoo.com,DigiCert Inc,15292799.0,,256.0,,b'sha256WithRSAEncryption'
43,43,digicert.com,DigiCert Inc,25833599.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
44,44,aaplimg.com,,,,,,
45,45,mail.ru,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
46,46,pinterest.com,DigiCert Inc,32313599.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
47,47,github.com,DigiCert Inc,34127999.0,,256.0,,b'ecdsa-with-SHA384'
48,48,ui.com,Amazon,34127999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
49,49,tiktokv.com,DigiCert Inc,34300799.0,,256.0,,b'ecdsa-with-SHA256'
50,50,t-msedge.net,,,,,,
51,51,sharepoint.com,Microsoft Corporation,31104000.0,,2048.0,65537.0,b'sha384WithRSAEncryption'
52,52,windows.net,,,,,,
53,53,nflxso.net,,,,,,
54,54,adobe.com,DigiCert Inc,31622399.0,,256.0,,b'sha256WithRSAEncryption'
55,55,googlesyndication.com,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
56,56,goo.gl,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
57,57,cloudfront.net,,,,,,
58,58,spotify.com,DigiCert Inc,31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
59,59,wordpress.com,Sectigo Limited,34300799.0,,256.0,,b'ecdsa-with-SHA256'
60,60,vimeo.com,"Cloudflare, Inc.",31535999.0,,256.0,,b'ecdsa-with-SHA256'
61,61,google-analytics.com,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
62,62,gandi.net,Sectigo Limited,32313599.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
63,63,s-msedge.net,,,,,,
64,64,office.net,,,,,,
65,65,gvt2.com,,,,,,
66,66,zoom.us,DigiCert Inc,33091199.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
67,67,msn.com,Microsoft Corporation,27738938.0,,2048.0,65537.0,b'sha384WithRSAEncryption'
68,68,bit.ly,DigiCert Inc,31967999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
69,69,skype.com,Microsoft Corporation,31104000.0,,2048.0,65537.0,b'sha384WithRSAEncryption'
70,70,edgekey.net,,,,,,
71,71,bytefcdn-oversea.com,,,,,,
72,72,office365.com,Microsoft Corporation,31104000.0,,2048.0,65537.0,b'sha384WithRSAEncryption'
73,73,whatsapp.net,DigiCert Inc,7862399.0,,256.0,,b'sha256WithRSAEncryption'
74,74,yandex.net,GlobalSign nv-sa,15649800.0,,256.0,,b'ecdsa-with-SHA384'
75,75,cloudflare.net,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
76,76,whatsapp.com,DigiCert Inc,7862399.0,,256.0,,b'sha256WithRSAEncryption'
77,77,mozilla.org,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
78,78,qq.com,DigiCert Inc,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
79,79,ntp.org,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
80,80,tiktok.com,"DigiCert, Inc.",34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
81,81,wac-msedge.net,,,,,,
82,82,roblox.com,Sectigo Limited,31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
83,83,app-measurement.com,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
84,84,blogspot.com,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
85,85,intuit.com,DigiCert Inc,31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
86,86,cloudflare-dns.com,DigiCert Inc,33609599.0,,256.0,,b'sha256WithRSAEncryption'
87,87,googledomains.com,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
88,88,ytimg.com,,,,,,
89,89,outlook.com,DigiCert Inc,31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
90,90,reddit.com,DigiCert Inc,15638399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
91,91,gvt1.com,,,,,,
92,92,trbcdn.net,,,,,,
93,93,snapchat.com,DigiCert Inc,31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
94,94,yandex.ru,GlobalSign nv-sa,15649800.0,,256.0,,b'ecdsa-with-SHA384'
95,95,opera.com,DigiCert Inc,32054399.0,,256.0,,b'ecdsa-with-SHA384'
96,96,cdn77.org,,,,,,
97,97,europa.eu,GlobalSign nv-sa,29965906.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
98,98,amazon-adsystem.com,,,,,,
99,99,epicgames.com,Amazon,34127999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
100,100,pki.goog,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
101,101,nic.ru,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
